playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
yarbrry01,2024,2,TOR,AL,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yarbrry01,2025,1,NYA,AL,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yastrmi01,2023,1,SFN,NL,106,330,54,77,23,1,15,43,2,2,45,99,3,3,2,1,5
yastrmi01,2024,1,SFN,NL,140,428,60,99,16,9,18,57,3,2,38,124,1,6,1,1,5
yastrmi01,2025,1,SFN,NL,97,321,38,74,14,1,8,28,6,2,47,86,4,1,2,1,4
yastrmi01,2025,2,KCA,AL,50,156,30,37,14,0,9,18,1,0,25,22,0,1,0,4,3
yateski01,2023,1,ATL,NL,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yateski01,2024,1,TEX,AL,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yateski01,2025,1,LAN,NL,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yelicch01,2023,1,MIL,NL,144,550,106,153,34,1,19,76,28,3,78,140,7,3,0,1,15
yelicch01,2024,1,MIL,NL,73,270,44,85,12,3,11,42,21,1,40,58,3,2,1,1,3
yelicch01,2025,1,MIL,NL,150,573,88,151,21,0,29,103,16,6,64,167,6,6,0,1,6
yepezju01,2023,1,SLN,NL,28,60,5,11,1,0,2,2,0,1,4,20,0,1,0,0,0
yepezju01,2024,1,WAS,NL,62,226,32,64,15,0,6,26,2,1,18,42,0,1,1,3,9
yesavtr01,2025,1,TOR,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yohocr01,2025,1,MIL,NL,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yorkeni01,2024,1,PIT,NL,11,37,4,8,0,0,2,5,2,0,4,12,0,0,0,1,0
yorkeni01,2025,1,PIT,NL,22,69,7,16,3,0,1,8,1,0,3,15,0,0,0,0,1
yoshima02,2023,1,BOS,AL,140,537,71,155,33,3,15,72,8,0,34,81,0,7,0,2,20
